Title,Product URL,Image URL,Rating,Number of Reviews,Price
Jackfruit365 Green Jackfruit Flour-Helps Control Sugar- 400g,https://www.amazon.in/Eastern-Jackfruit365-Green-Jackfruit-Flour/dp/B08BXWVKJJ/ref=zg_bs_g_hpc_d_sccl_1/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81JDhW21EFL._AC_UL600_SR600,400_.jpg",,,₹280.00
"Tide Plus Detergent Washing Powder - 6kg+2kg free | Jasmine & Rose Fragrance | Removes deep-seated Oil, Gravy, Tea Stains | 8kg, Pack of 1",https://www.amazon.in/Tide-Extra-Detergent-Washing-Powder/dp/B079QBSYSX/ref=zg_bs_g_hpc_d_sccl_2/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61dLTD5YNSL._AC_UL600_SR600,400_.jpg",,,₹713.00
Amazon Brand - Presto! 2 Ply Kitchen Tissue Rolls | 360 Pulls | 60 Kitchen Towels X 6 Rolls | Soft And Highly Absorbent | 100% Natural Virgin Cellulose Fiber,https://www.amazon.in/Amazon-Brand-Presto-Kitchen-Tissue/dp/B07GVVCQY6/ref=zg_bs_g_hpc_d_sccl_3/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/810kJ62hQQL._AC_UL600_SR600,400_.jpg",,,₹329.00
"Comfort After Wash Morning Fresh Fabric Conditioner Pouch, 2 ltr, Liquid",https://www.amazon.in/Comfort-After-Morning-Fabric-Conditioner/dp/B07F8H9NYY/ref=zg_bs_g_hpc_d_sccl_4/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81hjfHDwDXL._AC_UL600_SR600,400_.jpg",,,₹358.00
"Surf Excel Matic Top Load Liquid Detergent 4L Refill Pouch, Specially designed to remove Tough Dried Stains, 1st time in Washing Machine",https://www.amazon.in/Surf-Excel-Detergent-Specially-designed/dp/B0CKW4VGLK/ref=zg_bs_g_hpc_d_sccl_5/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51-R1pQ1rjL._AC_UL600_SR600,400_.jpg",,,₹590.00
Dettol Liquid Handwash Refill – Skincare Hand Wash- 1350ml | pH Balanced | 10x Better Germ Protection,https://www.amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=zg_bs_g_hpc_d_sccl_6/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61ma04zYXpL._AC_UL300_SR300,200_.jpg",,,₹186.00
"Wellcore - Pure Micronised Creatine Monohydrate (Fruit Fusion, 33 Servings) | Rapid Absorption | Enhanced Muscle strength & Power, Powder",https://www.amazon.in/Wellcore-Micronised-Creatine-Monohydrate-Absorption/dp/B0D9BPK1NV/ref=zg_bs_g_hpc_d_sccl_7/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71wLbVnsgSL._AC_UL300_SR300,200_.jpg",,,₹539.00
Genteel Matic Liquid Detergent Refill Pouch for Top load Washing - 2kg | No Soda Formula | with Added Fabric Conditioner,https://www.amazon.in/Godrej-Genteel-Liquid-Detergent-Refill/dp/B07ZZD6XL1/ref=zg_bs_g_hpc_d_sccl_8/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61B304RHorL._AC_UL300_SR300,200_.jpg",,,₹249.00
Ariel Liquid Detergent Front Load - 3.2L | Removes 7 day dried-in Stains in 1 wash inside Washing Machine | Now at Price of Powders | Amazing Fragrance | Protects Colours | Dissolves Faster,https://www.amazon.in/Ariel-Front-Liquid-Detergent-3-2Ltr/dp/B0CBBSWLW4/ref=zg_bs_g_hpc_d_sccl_9/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/719xruOfSNL._AC_UL300_SR300,200_.jpg",,,₹542.00
Godrej aer Power Pocket Bathroom FreshenerAssorted Pack of 5 (50g) |Gel Lasts up to 30 days | Germ Protection,https://www.amazon.in/Godrej-aer-Bathroom-Fragrance-Assorted/dp/B078CRB5WY/ref=zg_bs_g_hpc_d_sccl_10/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71xF9JoiB7L._AC_UL300_SR300,200_.jpg",,,₹222.00
"Godrej Ezee Liquid Detergent 2 Kg Pouch For Winter-Wear, Added Conditioner, No Soda Formula, Woolmark Certified, 1 Count",https://www.amazon.in/Godrej-Ezee-Liquid-Detergent-Refill/dp/B0833HHWZS/ref=zg_bs_g_hpc_d_sccl_11/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91PQfjS-aLL._AC_UL300_SR300,200_.jpg",,,₹369.00
"TEKCOOL heating bag, hot water bags for pain relief, heating bag electric, Heating Pad-Heat Pouch Hot Water Bottle Bag, Electric Hot Water Bag,Heating Pad For Pain Relief(Multicolour)",https://www.amazon.in/TEKCOOL-electric-Pad-Heat-Electric-Multicolour/dp/B0DJT3KZ1G/ref=zg_bs_g_hpc_d_sccl_12/257-1342139-2055701?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71rseHQJoWL._AC_UL300_SR300,200_.jpg",,,₹239.00
